value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
3236,100,売上（収入）金額,170,5億円超～10億円,120,製造業,2014100000,2014年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,130,情報通信業,2016100000,2016年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,130,情報通信業,2015100000,2015年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,130,情報通信業,2014100000,2014年度,百万円
x,100,売上（収入）金額,170,5億円超～10億円,140,運輸業，郵便業,2016100000,2016年度,百万円
84270,100,売上（収入）金額,170,5億円超～10億円,150,卸売業,2016100000,2016年度,百万円
11407,100,売上（収入）金額,170,5億円超～10億円,150,卸売業,2015100000,2015年度,百万円
34865,100,売上（収入）金額,170,5億円超～10億円,160,小売業,2016100000,2016年度,百万円
424993,100,売上（収入）金額,170,5億円超～10億円,160,小売業,2015100000,2015年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,160,小売業,2014100000,2014年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
18596,100,売上（収入）金額,170,5億円超～10億円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
x,100,売上（収入）金額,170,5億円超～10億円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
